timestamp: 24-08-30 11:24:09
result of show command "show ipv4 int brief" for router name cord-deham-91-0002.mgmt.lab: 
Fri Aug 30 11:24:09.277 CEST

Interface                      IP-Address      Status          Protocol Vrf-Name
Bundle-Ether1                  172.31.11.20    Up              Up       default 
Bundle-Ether2                  172.31.11.18    Up              Up       default 
Bundle-Ether3                  172.31.41.28    Up              Up       default 
Bundle-Ether4                  172.31.41.30    Down            Down     default 
Bundle-Ether5                  172.31.41.64    Up              Up       default 
Bundle-Ether6                  172.31.11.22    Down            Down     default 
Bundle-Ether8                  172.31.41.70    Up              Up       default 
Bundle-Ether9                  172.31.42.32    Up              Up       default 
Bundle-Ether10                 172.31.41.78    Down            Down     default 
Bundle-Ether100                10.0.0.1        Up              Up       **nVSatellite
Loopback0                      172.31.8.13     Up              Up       default 
nVFabric-GigE100/0/0/42        unassigned      Down            Down     default 
nVFabric-GigE100/0/0/43        unassigned      Down            Down     default 
nVFabric-TenGigE100/0/0/44     unassigned      Up              Up       default 
nVFabric-TenGigE100/0/0/45     unassigned      Up              Up       default 
nVFabric-TenGigE100/0/0/46     unassigned      Up              Up       default 
nVFabric-TenGigE100/0/0/47     unassigned      Up              Up       default 
srte_c_128_ep_172.31.8.7       172.31.8.13     Up              Up       default 
srte_c_128_ep_172.31.8.16      172.31.8.13     Up              Up       default 
srte_c_128_ep_172.31.8.21      172.31.8.13     Up              Up       default 
srte_c_128_ep_172.31.8.102     172.31.8.13     Up              Up       default 
MgmtEth0/RP0/CPU0/0            172.31.0.182    Up              Up       MGMT0   
GigabitEthernet100/0/0/0       unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/1       unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/2       unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/3       unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/4       unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/5       unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/6       unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/7       unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/8       unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/9       unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/10      unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/11      unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/12      unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/13      unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/14      unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/15      unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/16      unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/17      unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/18      unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/19      unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/20      unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/21      unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/22      unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/23      unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/24      unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/25      unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/26      unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/27      unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/28      unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/29      unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/30      unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/31      unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/32      unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/33      unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/34      unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/35      unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/36      unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/37      unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/38      unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/39      unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/40      unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/41      unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/42      unassigned      Shutdown        Down     default 
GigabitEthernet100/0/0/43      unassigned      Shutdown        Down     default 
MgmtEth0/RP1/CPU0/0            172.31.0.183    Up              Up       MGMT0   
FourHundredGigE0/0/0/0         unassigned      Shutdown        Down     default 
FourHundredGigE0/0/0/1         unassigned      Shutdown        Down     default 
FourHundredGigE0/0/0/2         unassigned      Shutdown        Down     default 
FourHundredGigE0/0/0/3         unassigned      Shutdown        Down     default 
FourHundredGigE0/0/0/4         unassigned      Shutdown        Down     default 
FourHundredGigE0/0/0/5         unassigned      Shutdown        Down     default 
FourHundredGigE0/0/0/6         unassigned      Shutdown        Down     default 
